chrom scaffold Cposition position mean p0025 p0500 p0975
Herato06 Herato0601 25001.0 25000.0 0.026097443934 0.022349575572 0.025848034338 0.03065846525
Herato06 Herato0601 75001.0 75000.0 0.0226391127281 0.014614717898 0.0214316752887 0.0390536328344
Herato06 Herato0601 125001.0 125000.0 0.0347731859642 0.0231992850002 0.0313551324596 0.059004897708
Herato06 Herato0601 175001.0 175000.0 0.0250566832065 0.0220078195468 0.0246554239973 0.0302289593432
Herato06 Herato0601 225001.0 225000.0 0.025284949044 0.024364562574 0.025065892606 0.026651186482
Herato06 Herato0601 275001.0 275000.0 0.030651376276 0.02834157962 0.03061618074 0.033731642808
Herato06 Herato0601 325001.0 325000.0 0.0470909539941 0.0450609848914 0.0470990047808 0.050063650504
Herato06 Herato0601 375001.0 375000.0 0.076560689174 0.0626634442954 0.075508339104 0.097447217456
Herato06 Herato0601 425001.0 425000.0 0.0397755115454 0.0360702875382 0.0398319492892 0.043139131638
Herato06 Herato0601 475001.0 475000.0 0.054779779826 0.05043132589 0.054418237122 0.060161702436
Herato06 Herato0601 525001.0 525000.0 0.048185985308 0.043116117586 0.04845636427 0.053929479702
Herato06 Herato0601 575001.0 575000.0 0.06322683762 0.0590757478 0.06339817562 0.06733739636
Herato06 Herato0601 625001.0 625000.0 0.04298272536 0.04159647558 0.04298272536 0.04429811572
Herato06 Herato0601 675001.0 675000.0 0.048352676586 0.04110112432 0.048607708032 0.055538507696
Herato06 Herato0601 725001.0 725000.0 0.05825192612 0.05393695378 0.0582679456 0.06290952708
Herato06 Herato0601 775001.0 775000.0 0.06137071434 0.0576613014 0.06108654744 0.0639027679
Herato06 Herato0601 825001.0 825000.0 0.05423374578 0.05070595746 0.05424074536 0.05712757214
Herato06 Herato0601 875001.0 875000.0 0.052984155246 0.04957043689 0.052878041972 0.057336504294
Herato06 Herato0601 925001.0 925000.0 0.08022180966 0.06843586724 0.07945793158 0.09606598628
Herato06 Herato0601 975001.0 975000.0 0.070592844356 0.064460336516 0.070174382908 0.077730781058
Herato06 Herato0601 1025001.0 1025000.0 0.0572577293 0.0555433365 0.0572676967 0.05860432504
Herato06 Herato0601 1075001.0 1075000.0 0.0722634196 0.06899315502 0.07264820176 0.07523234728
Herato06 Herato0601 1125001.0 1125000.0 0.0882723807 0.08375481246 0.08829463394 0.0943919815
Herato06 Herato0601 1175001.0 1175000.0 0.126906543724 0.11904635631 0.12752610532 0.134492923268
Herato06 Herato0601 1225001.0 1225000.0 0.10507703844 0.08943757838 0.10313106486 0.13334032294
Herato06 Herato0601 1275001.0 1275000.0 0.084995893848 0.076027616886 0.084934440706 0.09432604945
Herato06 Herato0601 1325001.0 1325000.0 0.0595979111 0.05585566748 0.05911682164 0.06461677864
Herato06 Herato0601 1375001.0 1375000.0 0.04958375289 0.037819499814 0.046521774988 0.076750043778
